,Team,Games_Played,Won,Offensive_Efficiency,Defensive_Efficiency,Power_Rating,Field_Goal_Shot,Field_Goal_Allowed,Turnover_Allowed,Turn_Over_Commited,Free_Throw_Shot,Free_Throw_Allowed,Two_Point_Shot,Two_Point_Allowed,Three_Point_Shot,Three_Point_Allowed,Conference
0,Villanova,40,36,Best,Poor,Best,59.5,48.5,15.0,18.2,29.4,26.7,59.0,49.0,40.1,31.7,ACC
1,Virginia,34,31,Better,Poor,Best,52.7,44.3,14.0,20.9,24.5,26.2,50.1,42.8,38.3,31.0,B10
2,Duke,37,29,Best,Poor,Best,55.9,46.4,17.5,17.3,34.6,22.3,56.0,45.4,37.2,32.0,B10
3,Purdue,37,30,Best,Bad,Best,57.7,47.0,15.8,17.7,35.6,24.2,54.1,45.5,42.0,33.2,B12
4,Cincinnati,36,31,Better,Poor,Best,51.2,43.3,17.0,21.6,36.0,26.8,50.2,41.4,35.3,30.9,Others
5,Kansas,39,31,Best,Bad,Best,57.5,49.1,16.6,18.2,27.0,24.6,55.6,48.6,40.1,33.3,ACC
6,Michigan,40,33,Better,Poor,Best,53.9,47.7,14.0,19.5,30.7,30.0,54.7,46.8,35.2,33.2,ACC
7,West Virginia,37,26,Best,Bad,Best,50.4,49.9,16.5,23.3,31.3,44.1,48.8,45.4,35.3,38.0,ACC
8,Michigan St.,35,30,Best,Poor,Best,56.9,42.7,19.2,14.6,35.9,30.7,55.2,38.4,40.1,33.7,BE
9,North Carolina,37,26,Best,Bad,Best,52.0,50.1,16.7,16.3,28.0,26.0,51.0,45.3,35.9,38.0,BE
10,Tennessee,35,26,Better,Poor,Best,50.8,46.7,17.9,20.4,35.5,37.6,47.3,46.1,38.0,31.8,ACC
11,Xavier,35,29,Best,Bad,Best,55.9,49.9,17.2,15.7,41.0,25.6,55.9,49.8,37.2,33.4,ACC
12,Gonzaga,37,32,Best,Poor,Best,57.0,47.1,16.1,17.4,32.1,29.1,58.2,44.1,36.8,35.0,ACC
13,Texas Tech,37,27,Better,Poor,Best,52.0,46.4,17.8,21.7,39.3,38.0,51.1,45.1,35.9,32.3,ACC
14,Ohio St.,34,25,Best,Poor,Best,54.1,48.7,17.1,17.9,31.1,29.5,54.7,46.1,35.3,35.1,ACC
15,Penn St.,39,26,Best,Poor,Best,52.6,48.3,17.3,19.5,31.5,32.1,49.8,46.7,38.7,34.2,ACC
16,Florida,34,21,Best,Poor,Best,50.8,48.7,14.3,20.0,32.6,32.4,47.6,46.6,37.0,35.2,ACC
17,Houston,35,27,Better,Poor,Best,53.3,45.5,17.5,19.1,32.6,41.6,50.5,43.8,38.7,32.3,B10
18,Butler,35,21,Best,Bad,Best,54.0,51.9,15.7,19.5,26.1,35.3,54.3,49.5,35.7,37.3,B12
19,Kentucky,37,26,Best,Bad,Best,51.8,46.8,18.6,16.8,44.0,32.3,51.2,48.0,35.7,30.1,B12
20,Clemson,35,25,Better,Poor,Best,52.9,47.2,17.4,17.4,33.5,27.2,51.6,43.9,36.6,35.2,B12
21,Seton Hall,34,22,Best,Bad,Best,52.9,50.3,17.8,17.7,35.2,29.8,52.0,50.0,36.5,33.8,B12
22,Creighton,32,21,Best,Bad,Best,57.4,50.1,15.6,15.8,26.5,24.8,58.7,50.0,37.2,33.6,BE
23,TCU,33,21,Best,Bad,Best,56.5,52.3,17.8,17.4,34.1,30.5,55.1,50.1,39.4,37.6,Others
24,Auburn,34,26,Better,Bad,Best,50.8,49.7,16.4,20.7,39.8,38.1,48.7,47.7,35.7,35.1,Others
25,Wichita St.,33,25,Best,Bad,Best,55.1,49.4,16.5,16.3,34.8,33.2,53.8,46.0,38.1,36.3,Others
26,Texas A&M,35,22,Better,Poor,Best,51.4,46.9,19.2,15.3,32.0,27.6,52.5,45.7,32.9,32.6,Others
27,Florida St.,35,23,Better,Bad,Best,53.2,48.4,17.8,19.4,37.0,32.4,53.6,45.4,35.0,35.5,Others
28,Miami FL,32,22,Better,Bad,Best,53.1,49.0,16.8,18.8,29.1,28.1,52.2,48.8,36.4,32.8,Others
29,Kansas St.,37,25,Better,Poor,Best,52.6,49.1,17.2,21.6,33.8,36.8,53.4,48.9,34.1,33.0,Others
30,Virginia Tech,33,21,Best,Bad,Best,57.7,50.4,17.0,18.6,36.5,29.4,57.3,49.2,38.8,34.7,ACC
31,Texas,34,19,Better,Poor,Best,50.0,48.3,17.0,18.0,33.0,26.2,51.2,47.5,32.0,33.2,B10
32,Maryland,31,19,Better,Bad,Best,54.3,47.5,20.4,16.3,37.9,24.0,53.9,45.6,36.8,33.8,B10
33,Arizona,35,27,Best,Bad,Best,56.3,49.9,17.5,16.7,36.9,31.2,56.7,47.7,36.9,35.8,B12
34,Oklahoma St.,36,21,Better,Bad,Best,49.8,50.0,18.1,20.3,32.2,35.6,48.3,47.5,34.8,36.7,B12
35,San Diego St.,32,22,Better,Poor,Best,51.7,48.6,17.0,19.0,35.1,29.6,52.0,47.8,34.1,33.2,Others
36,Louisville,36,22,Better,Bad,Best,51.8,47.0,16.7,18.9,31.9,29.3,49.7,45.8,37.1,32.9,Others
37,Arkansas,35,23,Best,Bad,Best,53.8,50.4,15.1,19.4,37.4,40.8,51.2,48.2,39.5,35.7,Others
38,Saint Mary's,36,30,Best,Bad,Best,58.7,49.2,15.4,15.1,30.4,24.8,57.1,49.5,41.0,32.3,Others
39,Nevada,37,29,Best,Bad,Best,54.8,49.4,13.5,18.0,36.3,30.1,52.1,50.7,39.2,31.7,Others
40,Loyola Chicago,37,32,Better,Bad,Best,57.7,47.4,19.1,19.4,32.2,25.2,56.6,47.1,39.8,32.0,A10
41,Marquette,35,21,Best,Bad,Best,56.8,53.8,17.3,18.1,28.8,38.9,52.2,53.8,41.7,35.9,A10
42,Baylor,33,19,Better,Bad,Best,51.8,47.7,19.8,17.2,32.2,30.2,51.3,46.2,35.4,33.4,A10
43,USC,36,24,Better,Bad,Best,53.8,51.0,15.3,19.2,29.9,26.6,52.4,49.8,37.6,35.2,A10
