TEAM,Games Played,Won,Offensive Efficiency,Defensive Efficiency,Power Rating,Field Goal Shot,Field Goal Allowed,Turnover allowed,Turn Over Commited,Free Throw Shot,Free Throw Allowed,Two Point Shot,Two Point Allowed,Three Point Shot,Three Point Allowed
Villanova,40,36,128.4,94.1,0.9725,59.5,48.5,15,18.2,29.4,26.7,59,49,40.1,31.7
Virginia,34,31,114.6,86.7,0.9612,52.7,44.3,14,20.9,24.5,26.2,50.1,42.8,38.3,31
Duke,37,29,122.3,92.9,0.9592,55.9,46.4,17.5,17.3,34.6,22.3,56,45.4,37.2,32
Purdue,37,30,123.2,95.7,0.9484,57.7,47,15.8,17.7,35.6,24.2,54.1,45.5,42,33.2
Cincinnati,36,31,111.6,87.7,0.9417,51.2,43.3,17,21.6,36,26.8,50.2,41.4,35.3,30.9
Kansas,39,31,122.1,96.4,0.9385,57.5,49.1,16.6,18.2,27,24.6,55.6,48.6,40.1,33.3
Michigan,40,33,114.4,90.4,0.9375,53.9,47.7,14,19.5,30.7,30,54.7,46.8,35.2,33.2
West Virginia,37,26,120.9,95.8,0.9353,50.4,49.9,16.5,23.3,31.3,44.1,48.8,45.4,35.3,38
Michigan St.,35,30,118.9,94.3,0.9347,56.9,42.7,19.2,14.6,35.9,30.7,55.2,38.4,40.1,33.7
North Carolina,37,26,120.7,97.1,0.9242,52,50.1,16.7,16.3,28,26,51,45.3,35.9,38
Tennessee,35,26,114.2,92,0.9225,50.8,46.7,17.9,20.4,35.5,37.6,47.3,46.1,38,31.8
Xavier,35,29,120.9,97.7,0.9211,55.9,49.9,17.2,15.7,41,25.6,55.9,49.8,37.2,33.4
Gonzaga,37,32,117.2,94.9,0.9192,57,47.1,16.1,17.4,32.1,29.1,58.2,44.1,36.8,35
Texas Tech,37,27,112.7,91.5,0.917,52,46.4,17.8,21.7,39.3,38,51.1,45.1,35.9,32.3
Ohio St.,34,25,116,94.3,0.9154,54.1,48.7,17.1,17.9,31.1,29.5,54.7,46.1,35.3,35.1
Penn St.,39,26,115,93.6,0.9148,52.6,48.3,17.3,19.5,31.5,32.1,49.8,46.7,38.7,34.2
Florida,34,21,115.2,93.9,0.9132,50.8,48.7,14.3,20,32.6,32.4,47.6,46.6,37,35.2
Houston,35,27,114.8,93.9,0.9097,53.3,45.5,17.5,19.1,32.6,41.6,50.5,43.8,38.7,32.3
Butler,35,21,116.1,95.3,0.9068,54,51.9,15.7,19.5,26.1,35.3,54.3,49.5,35.7,37.3
Kentucky,37,26,115.8,95.6,0.9,51.8,46.8,18.6,16.8,44,32.3,51.2,48,35.7,30.1
Clemson,35,25,112.5,93.1,0.8984,52.9,47.2,17.4,17.4,33.5,27.2,51.6,43.9,36.6,35.2
Seton Hall,34,22,117.8,98.2,0.8902,52.9,50.3,17.8,17.7,35.2,29.8,52,50,36.5,33.8
Creighton,32,21,116.2,97.4,0.8836,57.4,50.1,15.6,15.8,26.5,24.8,58.7,50,37.2,33.6
TCU,33,21,119.5,100.5,0.8804,56.5,52.3,17.8,17.4,34.1,30.5,55.1,50.1,39.4,37.6
Auburn,34,26,114,96.9,0.8672,50.8,49.7,16.4,20.7,39.8,38.1,48.7,47.7,35.7,35.1
Wichita St.,33,25,120.9,102.7,0.8671,55.1,49.4,16.5,16.3,34.8,33.2,53.8,46,38.1,36.3
Texas A&M,35,22,111.2,94.7,0.864,51.4,46.9,19.2,15.3,32,27.6,52.5,45.7,32.9,32.6
Florida St.,35,23,113.2,96.4,0.8631,53.2,48.4,17.8,19.4,37,32.4,53.6,45.4,35,35.5
Miami FL,32,22,113.3,96.6,0.8623,53.1,49,16.8,18.8,29.1,28.1,52.2,48.8,36.4,32.8
Kansas St.,37,25,109.6,93.7,0.8584,52.6,49.1,17.2,21.6,33.8,36.8,53.4,48.9,34.1,33
Virginia Tech,33,21,115.2,98.6,0.8579,57.7,50.4,17,18.6,36.5,29.4,57.3,49.2,38.8,34.7
Texas,34,19,109.3,93.7,0.8547,50,48.3,17,18,33,26.2,51.2,47.5,32,33.2
Maryland,31,19,113.9,97.8,0.853,54.3,47.5,20.4,16.3,37.9,24,53.9,45.6,36.8,33.8
