STATE,Total_Population,Urban,Suburban,Rural,Male,Female,W,AA,AI,APAC,Native,Foreign,Europe,Asia,Africa,Oceania,Americas,Male_5,Male_8,Male_11,Male_A,Male_B,Male_G,Female_5,Female_8,Female_11,Female_A,Female_B,Female_G,Household_1,Household_2,Household_3,Household_4,MedianIncome,Family_1,Family_2,Family_3,Family_4,Family_5,PerCapitaIncome,Poverty,HousingUnits,Male_Ratio,Female_Ratio,Sex_Ratio,Urban_Ratio,Suburban_Ratio,Rural_Ratio,Location_Ratio,W_Ratio,AA_Ratio,AI_Ratio,APAC_Ratio,Race_Ratio,Native_Ratio,Foreign_Ratio,Origin_Ratio,Europe_Ratio,Asia_Ratio,Africa_Ratio,Oceania_Ratio,Americas_Ratio,Poverty_Ratio,Housing_Ratio,Male_5_Ratio,Male_8_Ratio,Male_11_Ratio,Male_A_Ratio,Male_B_Ratio,Male_G_Ratio,Female_5_Ratio,Female_8_Ratio,Female_11_Ratio,Female_A_Ratio,Female_B_Ratio,Female_G_Ratio,Educated_Sex_Ratio,College_Educated_Ratio
Alabama,4040587,1839966,599583,1601038,1936162,2104425,2975797,1020705,16506,27579,3997054,43533,13972,17294,1813,275,8072,48679,115292,166144,632962,136777,77241,42565,142312,224157,774630,121454,63756,337898,161059,288244,718808,23597,156016,107713,215592,402097,229721,11486,723614,1670379,0.479,0.521,920.043,0.455,0.148,0.396,656.284,0.736,0.253,0.004,0.007,357.817,0.989,0.011,10.891,0.321,0.397,0.042,0.006,0.185,179.086,2.419,0.041,0.098,0.141,0.538,0.116,0.066,0.031,0.104,0.164,0.566,0.089,0.047,1133.25,709.679
Alaska,550043,221883,149352,178808,289867,260176,415492,22451,85698,26402,525229,24814,5846,11375,226,449,5964,2675,5666,9567,112015,24984,15718,3031,5249,9254,101475,23633,10162,15783,12128,25139,136650,41408,7968,7422,15740,41819,61857,17610,47906,232608,0.527,0.473,1114.119,0.403,0.272,0.325,481.657,0.755,0.041,0.156,0.048,323.835,0.955,0.045,47.244,0.236,0.458,0.009,0.018,0.24,87.095,2.365,0.016,0.033,0.056,0.656,0.146,0.092,0.02,0.034,0.061,0.664,0.155,0.067,885.756,890.418
Arizona,3665228,2655997,550976,458255,1810691,1854537,2963186,110524,203527,387991,3387023,278205,47053,35921,2917,1362,179085,30178,69605,91453,656133,164127,96663,31752,75974,108809,770400,142427,63656,213242,135940,269528,753175,27540,99089,77162,173671,354989,244507,13461,564362,1659430,0.494,0.506,976.357,0.725,0.15,0.125,142.893,0.808,0.03,0.056,0.106,236.921,0.924,0.076,82.139,0.169,0.129,0.01,0.005,0.644,153.977,2.209,0.027,0.063,0.083,0.592,0.148,0.087,0.027,0.064,0.091,0.646,0.119,0.053,1064.956,822.799
Arkansas,2350725,591420,666601,1092704,1133076,1217649,1944744,373912,12773,19296,2325858,24867,7847,9035,651,316,6002,30972,79822,93577,387556,67624,37091,24903,91936,121888,466192,65088,29501,210154,110826,194217,376468,21147,98035,75147,149406,234494,99383,10520,437089,1000667,0.482,0.518,930.544,0.252,0.284,0.465,868.59,0.827,0.159,0.005,0.008,208.758,0.989,0.011,10.692,0.316,0.363,0.026,0.013,0.241,185.938,2.349,0.044,0.115,0.134,0.556,0.097,0.053,0.031,0.115,0.152,0.583,0.081,0.037,1139.171,703.841
California,29760021,25466131,2105190,2188700,14897627,14862394,20524327,2208801,242164,6784729,23301196,6458825,672264,2000601,65864,44876,3410437,418411,574673,699935,4990211,1503855,938006,453032,639789,807325,5745449,1354252,570561,1197503,771755,1576520,6853922,35798,555044,467758,1005830,2414906,2775339,16409,3627585,11182882,0.501,0.499,1002.371,0.856,0.071,0.074,79.383,0.69,0.074,0.008,0.228,449.988,0.783,0.217,277.189,0.104,0.31,0.01,0.007,0.528,121.895,2.661,0.046,0.063,0.077,0.547,0.165,0.103,0.047,0.067,0.084,0.6,0.142,0.06,1032.049,807.806
Colorado,3294394,2377820,337697,578877,1631295,1663099,2905474,133146,27776,227998,3151960,142434,45292,36823,3310,1134,51632,13338,44800,68036,580958,198218,115048,12652,47462,83004,688566,180932,74058,175754,116938,237697,754730,30140,69702,60070,141094,331803,259159,14821,375214,1477349,0.495,0.505,980.877,0.722,0.103,0.176,213.174,0.882,0.04,0.008,0.069,133.858,0.957,0.043,45.189,0.318,0.259,0.023,0.008,0.362,113.895,2.23,0.013,0.044,0.067,0.569,0.194,0.113,0.012,0.044,0.076,0.634,0.167,0.068,1055.167,872.196
Connecticut,3287116,2455697,145851,685568,1592873,1694243,2859353,274269,6654,146840,3007733,279383,142290,38852,5043,1101,81048,17513,62973,94651,538805,187552,134750,23096,81631,104594,678007,168737,106654,119679,67635,150389,892540,41721,43451,30616,86110,284502,427532,20189,217347,1320850,0.485,0.515,940.168,0.747,0.044,0.209,263.523,0.87,0.083,0.002,0.045,149.601,0.915,0.085,92.888,0.509,0.139,0.018,0.004,0.29,66.121,2.489,0.017,0.061,0.091,0.52,0.181,0.13,0.02,0.07,0.09,0.583,0.145,0.092,1107.177,825.164
Delaware,666168,458749,27752,179667,322968,343200,535094,112460,2019,16595,643893,22275,8667,6733,606,102,5442,2819,12673,23323,113638,29601,20660,2419,13098,27381,141426,29014,12447,26705,18080,39104,163274,34875,10361,9664,24923,68207,63770,15854,56223,289919,0.485,0.515,941.049,0.689,0.042,0.27,369.304,0.803,0.169,0.003,0.025,244.955,0.967,0.033,34.594,0.389,0.302,0.027,0.005,0.244,84.398,2.298,0.014,0.063,0.115,0.561,0.146,0.102,0.011,0.058,0.121,0.626,0.129,0.055,1115.852,809.304
District Of Columbia,606900,606900,0,0,282970,323930,179667,399604,1466,26163,548013,58887,10483,9760,6571,328,28145,5825,12778,21180,78664,29161,38221,5845,14659,27667,106228,36731,32172,41124,17838,43195,146877,30727,15677,7931,19672,35981,44319,18881,96278,278489,0.466,0.534,873.553,1.0,0.0,0.0,0.0,0.296,0.658,0.002,0.043,2377.916,0.903,0.097,107.455,0.178,0.166,0.112,0.006,0.478,158.639,2.179,0.031,0.069,0.114,0.423,0.157,0.206,0.026,0.066,0.124,0.476,0.164,0.144,1199.15,785.022
Florida,12937926,10177624,789704,1970598,6261719,6676207,10749285,1759534,36335,392772,11275325,1662601,302436,116278,14856,3778,1152105,111342,290278,452773,2419555,570252,340004,113530,327661,530839,3016785,492397,221752,775560,509728,1032504,2820568,27483,318809,287039,680897,1343382,911181,14698,1604186,6100262,0.484,0.516,937.916,0.787,0.061,0.152,179.679,0.831,0.136,0.003,0.03,203.608,0.871,0.129,147.455,0.182,0.07,0.009,0.002,0.693,123.991,2.121,0.027,0.069,0.108,0.578,0.136,0.081,0.024,0.07,0.113,0.641,0.105,0.047,1120.464,794.488
